					 Word Occurence Report
			Words with location & lines of occurence
==============================================================================
Word:                     Location:                 Lines
and                       textFile.txt              1,3,5,13,15,17,21,23,25,27,29,31,33,35,41,47,51,53,55,57,65,67,73,75,77,81,83,85,89,91,93,99,101,103,105,109,111,113,119,123,129,135,139,145,151,155,157,163,165,169,171,173,179,181,185,187,189,195,197,205,207,209,211,219,221,223,225,226,232,236,238,240,244,246,248,260,264,265,267,273,275,277,279,281,285,287,291,299,301,305,311,315,319,325,327,331,337,339,343,345,347,349,351,353,355,359,360,362,364,368,370,372,374,376,378,380,382,384,386,390,394,396,398,400,404,406,408,410,412,414,422,424,428,432,436,440,442,446,448,454,462,468,470,476,484,486,488,492,494,496,498,500,502,506,508,510,512,528,532,534,536,538,540,542,544,546,548,550,552,554,558,560,566,568,570,572,576,578,580,582,586,588,590,592,594,596,598,600,602,604,606,608,612,620,622,624,628,630,632,634,636,638,640,642,644,648,650,652,654,656,658,660,662,670,672,676,678,680,682,686,688,690,694,696,698,702,704,706,707,709,719,723,725,729,731,733,735,737,739,741,745,747,751
Andrew                    textFile.txt              412,608
anew                      textFile.txt              733
anger                     textFile.txt              137
angular                   textFile.txt              223
animal                    textFile.txt              416
announce                  textFile.txt              209
announced                 textFile.txt              95,189
annoyed                   textFile.txt              205,739
another                   textFile.txt              27,53,232,378,394,396,418,424,462,600,739
answer                    textFile.txt              269,528,688
answered                  textFile.txt              65,127,131,135,240,355,394,482,560,598,745
answers                   textFile.txt              327
anticipating              textFile.txt              93
anticlimax                textFile.txt              660
antiquated                textFile.txt              55,345
antique                   textFile.txt              23
antiquities               textFile.txt              189
anxious                   textFile.txt              574
anxiously                 textFile.txt              171
any                       textFile.txt              33,65,111,125,149,179,185,191,195,230,402,406,410,412,416,426,442,454,462,474,508,556,566,572,586,608,612,668,674,678,741
anybody                   textFile.txt              141,303,500,512,739
anybody's                 textFile.txt              540
anyhow                    textFile.txt              289,360,386,406,474
anyone                    textFile.txt              219,221,378,678,729
anything                  textFile.txt              27,53,61,99,211,295,353,386,410,412,600,618,696,709,729,745
anywhere                  textFile.txt              207
