		 Word Occurence Report
	Words with location of occurence
===================================================
Word:                     Location:
126-149                   bigTextFile.txt
127                       bigtextFile.txt
127                       bigTextFile.txt
127000                    bigtextFile.txt
127000                    bigTextFile.txt
1270000000                bigtextFile.txt
1270000000                bigTextFile.txt
127ff                     bigtextFile.txt
127ff                     bigTextFile.txt
128                       bigtextFile.txt
128                       bigTextFile.txt
129                       bigtextFile.txt
129                       bigTextFile.txt
129-170                   bigtextFile.txt
129-170                   bigTextFile.txt
12th                      bigtextFile.txt
12th                      bigTextFile.txt
13                        bigtextFile.txt
13                        warandpeace.txt
13                        bigTextFile.txt
130                       bigtextFile.txt
130                       bigTextFile.txt
1300000                   bigtextFile.txt
1300000                   bigTextFile.txt
131                       bigtextFile.txt
131                       bigTextFile.txt
131-162                   bigtextFile.txt
131-162                   bigTextFile.txt
132                       bigtextFile.txt
132                       bigTextFile.txt
133                       bigtextFile.txt
133                       bigTextFile.txt
133-156                   bigtextFile.txt
133-156                   bigTextFile.txt
134                       bigtextFile.txt
134                       bigTextFile.txt
134-162                   bigtextFile.txt
134-162                   bigTextFile.txt
1341264                   bigtextFile.txt
1341264                   bigTextFile.txt
135                       bigtextFile.txt
135                       bigTextFile.txt
135-142                   bigtextFile.txt
135-142                   bigTextFile.txt
135-145                   bigtextFile.txt
135-145                   bigTextFile.txt
135000                    bigtextFile.txt
135000                    bigTextFile.txt
136                       bigtextFile.txt
136                       bigTextFile.txt
136-146                   bigtextFile.txt
136-146                   bigTextFile.txt
136-167                   bigtextFile.txt
136-167                   bigTextFile.txt
136000                    bigtextFile.txt
136000                    bigTextFile.txt
137                       bigtextFile.txt
137                       bigTextFile.txt
137-142                   bigtextFile.txt
137-142                   bigTextFile.txt
138                       bigtextFile.txt
138                       bigTextFile.txt
139                       bigtextFile.txt
139                       bigTextFile.txt
139ff                     bigtextFile.txt
139ff                     bigTextFile.txt
13f                       bigtextFile.txt
13f                       bigTextFile.txt
13ff                      bigtextFile.txt
13ff                      bigTextFile.txt
13th                      warandpeace.txt
14                        bigtextFile.txt
14                        bigTextFile.txt
140                       bigtextFile.txt
140                       bigTextFile.txt
140-198                   bigtextFile.txt
140-198                   bigTextFile.txt
14000                     bigtextFile.txt
14000                     bigTextFile.txt
140000                    bigtextFile.txt
140000                    bigTextFile.txt
1400000                   bigtextFile.txt
1400000                   bigTextFile.txt
141                       bigtextFile.txt
141                       bigTextFile.txt
142                       bigtextFile.txt
142                       bigTextFile.txt
142-147                   bigtextFile.txt
142-147                   bigTextFile.txt
142-148                   bigtextFile.txt
142-148                   bigTextFile.txt
143                       bigtextFile.txt
143                       bigTextFile.txt
143ff                     bigtextFile.txt
143ff                     bigTextFile.txt
144                       bigtextFile.txt
144                       bigTextFile.txt
144ff                     bigtextFile.txt
144ff                     bigTextFile.txt
145                       bigtextFile.txt
145                       bigTextFile.txt
146                       bigtextFile.txt
146                       bigTextFile.txt
147                       bigtextFile.txt
147                       bigTextFile.txt
147-197                   bigtextFile.txt
147-197                   bigTextFile.txt
147000                    bigtextFile.txt
147000                    bigTextFile.txt
148                       bigtextFile.txt
148                       bigTextFile.txt
149                       bigtextFile.txt
149                       bigTextFile.txt
149-150                   bigtextFile.txt
149-150                   bigTextFile.txt
1493                      bigtextFile.txt
1493                      bigTextFile.txt
14th                      bigtextFile.txt
14th                      bigTextFile.txt
15                        bigtextFile.txt
15                        warandpeace.txt
15                        bigTextFile.txt
15-20                     bigtextFile.txt
15-20                     bigTextFile.txt
150                       bigtextFile.txt
150                       bigTextFile.txt
150-170                   bigtextFile.txt
150-170                   bigTextFile.txt
1500                      bigtextFile.txt
1500                      bigTextFile.txt
15000                     bigtextFile.txt
15000                     warandpeace.txt
15000                     bigTextFile.txt
150000                    bigtextFile.txt
150000                    warandpeace.txt
150000                    bigTextFile.txt
151                       bigtextFile.txt
151                       bigTextFile.txt
151-156                   bigtextFile.txt
151-156                   bigTextFile.txt
152                       bigtextFile.txt
152                       bigTextFile.txt
152-177                   bigtextFile.txt
152-177                   bigTextFile.txt
153                       bigtextFile.txt
153                       bigTextFile.txt
153-182                   bigtextFile.txt
153-182                   bigTextFile.txt
154                       bigtextFile.txt
154                       bigTextFile.txt
155                       bigtextFile.txt
155                       bigTextFile.txt
155000                    bigtextFile.txt
155000                    bigTextFile.txt
15500000                  bigtextFile.txt
15500000                  bigTextFile.txt
155000000                 bigtextFile.txt
155000000                 bigTextFile.txt
156                       bigtextFile.txt
156                       bigTextFile.txt
156000                    bigtextFile.txt
156000                    bigTextFile.txt
156ff                     bigtextFile.txt
156ff                     bigTextFile.txt
157                       bigtextFile.txt
157                       bigTextFile.txt
157000                    bigtextFile.txt
157000                    bigTextFile.txt
158                       bigtextFile.txt
158                       bigTextFile.txt
159                       bigtextFile.txt
159                       bigTextFile.txt
159-168                   bigtextFile.txt
159-168                   bigTextFile.txt
16                        bigtextFile.txt
16                        bigTextFile.txt
160                       bigtextFile.txt
160                       bigTextFile.txt
160-166                   bigtextFile.txt
160-166                   bigTextFile.txt
160-acre                  bigtextFile.txt
160-acre                  bigTextFile.txt
160000                    bigtextFile.txt
160000                    warandpeace.txt
160000                    bigTextFile.txt
1600000                   bigtextFile.txt
1600000                   bigTextFile.txt
16000000                  bigtextFile.txt
16000000                  bigTextFile.txt
1606                      bigtextFile.txt
1606                      bigTextFile.txt
1606-1898                 bigtextFile.txt
1606-1898                 bigTextFile.txt
1607                      bigtextFile.txt
1607                      bigTextFile.txt
1608                      bigtextFile.txt
1608                      bigTextFile.txt
161                       bigtextFile.txt
161                       bigTextFile.txt
1619                      bigtextFile.txt
1619                      bigTextFile.txt
162                       bigtextFile.txt
162                       bigTextFile.txt
162-166                   bigtextFile.txt
162-166                   bigTextFile.txt
1620                      bigtextFile.txt
1620                      bigTextFile.txt
1621                      bigtextFile.txt
1621                      bigTextFile.txt
1622                      bigtextFile.txt
1622                      bigTextFile.txt
1624                      bigtextFile.txt
1624                      bigTextFile.txt
1625-49                   bigtextFile.txt
1625-49                   bigTextFile.txt
1627                      bigtextFile.txt
1627                      bigTextFile.txt
1629                      bigtextFile.txt
1629                      bigTextFile.txt
163                       bigtextFile.txt
163                       bigTextFile.txt
163-186                   bigtextFile.txt
163-186                   bigTextFile.txt
163-208                   bigtextFile.txt
163-208                   bigTextFile.txt
1633                      bigtextFile.txt
1633                      bigTextFile.txt
1634                      bigtextFile.txt
1634                      bigTextFile.txt
1636                      bigtextFile.txt
1636                      bigTextFile.txt
1637                      bigtextFile.txt
1637                      bigTextFile.txt
1638                      bigtextFile.txt
1638                      bigTextFile.txt
1639                      bigtextFile.txt
1639                      bigTextFile.txt
164                       bigtextFile.txt
164                       bigTextFile.txt
164-183                   bigtextFile.txt
164-183                   bigTextFile.txt
1640                      bigtextFile.txt
1640                      bigTextFile.txt
1642                      bigtextFile.txt
1642                      bigTextFile.txt
1643                      bigtextFile.txt
1643                      bigTextFile.txt
1644                      bigtextFile.txt
1644                      bigTextFile.txt
1649                      bigtextFile.txt
1649                      bigTextFile.txt
1649-60                   bigtextFile.txt
1649-60                   bigTextFile.txt
164ff                     bigtextFile.txt
164ff                     bigTextFile.txt
165                       bigtextFile.txt
165                       bigTextFile.txt
1650                      bigtextFile.txt
1650                      bigTextFile.txt
1650000                   bigtextFile.txt
1650000                   bigTextFile.txt
165000000                 bigtextFile.txt
165000000                 bigTextFile.txt
1651                      bigtextFile.txt
1651                      bigTextFile.txt
1658                      bigtextFile.txt
1658                      bigTextFile.txt
166                       bigtextFile.txt
166                       bigTextFile.txt
1660                      bigtextFile.txt
1660                      bigTextFile.txt
1660-85                   bigtextFile.txt
1660-85                   bigTextFile.txt
166000                    bigtextFile.txt
166000                    bigTextFile.txt
1662                      bigtextFile.txt
1662                      bigTextFile.txt
1663                      bigtextFile.txt
1663                      bigTextFile.txt
1664                      bigtextFile.txt
1664                      bigTextFile.txt
1665                      bigtextFile.txt
1665                      bigTextFile.txt
167                       bigtextFile.txt
167                       bigTextFile.txt
167-186                   bigtextFile.txt
167-186                   bigTextFile.txt
167-206                   bigtextFile.txt
167-206                   bigTextFile.txt
1675                      bigtextFile.txt
1675                      bigTextFile.txt
1676                      bigtextFile.txt
1676                      bigTextFile.txt
1679                      bigtextFile.txt
1679                      bigTextFile.txt
168                       bigtextFile.txt
168                       bigTextFile.txt
168-179                   bigtextFile.txt
168-179                   bigTextFile.txt
1680                      bigtextFile.txt
1680                      bigTextFile.txt
1681                      bigtextFile.txt
1681                      bigTextFile.txt
1682                      bigtextFile.txt
1682                      bigTextFile.txt
1684                      bigtextFile.txt
1684                      bigTextFile.txt
1685                      bigtextFile.txt
1685                      bigTextFile.txt
1688                      bigtextFile.txt
1688                      bigTextFile.txt
1689-1697                 bigtextFile.txt
1689-1697                 bigTextFile.txt
168ff                     bigtextFile.txt
168ff                     bigTextFile.txt
169                       bigtextFile.txt
169                       bigTextFile.txt
169-197                   bigtextFile.txt
169-197                   bigTextFile.txt
1691                      bigtextFile.txt
1691                      bigTextFile.txt
1692                      bigtextFile.txt
1692                      bigTextFile.txt
1693                      bigtextFile.txt
1693                      bigTextFile.txt
1695                      bigtextFile.txt
1695                      bigTextFile.txt
1696                      bigtextFile.txt
1696                      bigTextFile.txt
16960                     bigtextFile.txt
16960                     bigTextFile.txt
1698000                   bigtextFile.txt
1698000                   bigTextFile.txt
1699                      bigtextFile.txt
1699                      bigTextFile.txt
16A                       bigtextFile.txt
16A                       bigTextFile.txt
16f                       bigtextFile.txt
16f                       bigTextFile.txt
16th                      bigtextFile.txt
16th                      bigTextFile.txt
17                        bigtextFile.txt
17                        warandpeace.txt
17                        bigTextFile.txt
170-173                   bigtextFile.txt
170-173                   bigTextFile.txt
170000                    bigtextFile.txt
170000                    bigTextFile.txt
17000000                  bigtextFile.txt
17000000                  bigTextFile.txt
1701-1713                 bigtextFile.txt
1701-1713                 bigTextFile.txt
1702                      bigtextFile.txt
1702                      bigTextFile.txt
1704                      bigtextFile.txt
1704                      bigTextFile.txt
171                       bigtextFile.txt
171                       bigTextFile.txt
171-196                   bigtextFile.txt
171-196                   bigTextFile.txt
1710                      bigtextFile.txt
1710                      bigTextFile.txt
1713                      bigtextFile.txt
1713                      bigTextFile.txt
1714                      bigtextFile.txt
1714                      bigTextFile.txt
1718                      bigtextFile.txt
1718                      bigTextFile.txt
171ff                     bigtextFile.txt
171ff                     bigTextFile.txt
172                       bigtextFile.txt
172                       bigTextFile.txt
1720                      bigtextFile.txt
1720                      bigTextFile.txt
1721                      bigtextFile.txt
1721                      bigTextFile.txt
1725                      bigtextFile.txt
1725                      bigTextFile.txt
1726                      bigtextFile.txt
1726                      bigTextFile.txt
173-185                   bigtextFile.txt
173-185                   bigTextFile.txt
1731                      bigtextFile.txt
1731                      bigTextFile.txt
1732                      bigtextFile.txt
1732                      bigTextFile.txt
1733                      bigtextFile.txt
1733                      bigTextFile.txt
1735                      bigtextFile.txt
1735                      bigTextFile.txt
1739                      bigtextFile.txt
1739                      bigTextFile.txt
174                       bigtextFile.txt
174                       bigTextFile.txt
174-269                   bigtextFile.txt
174-269                   bigTextFile.txt
1743                      bigtextFile.txt
1743                      bigTextFile.txt
1744-1748                 bigtextFile.txt
1744-1748                 bigTextFile.txt
1746                      bigtextFile.txt
1746                      bigTextFile.txt
1747                      bigtextFile.txt
1747                      bigTextFile.txt
1748                      bigtextFile.txt
1748                      bigTextFile.txt
1749                      bigtextFile.txt
1749                      bigTextFile.txt
175                       bigtextFile.txt
175                       bigTextFile.txt
175-206                   bigtextFile.txt
175-206                   bigTextFile.txt
1750                      bigtextFile.txt
1750                      bigTextFile.txt
175000000                 bigtextFile.txt
175000000                 bigTextFile.txt
1752                      bigtextFile.txt
1752                      bigTextFile.txt
1752-1754                 bigtextFile.txt
1752-1754                 bigTextFile.txt
1754                      bigtextFile.txt
1754                      bigTextFile.txt
1754-63                   bigtextFile.txt
1754-63                   bigTextFile.txt
1755                      bigtextFile.txt
1755                      bigTextFile.txt
176-183                   bigtextFile.txt
176-183                   bigTextFile.txt
176-263                   bigtextFile.txt
176-263                   bigTextFile.txt
1760                      bigtextFile.txt
1760                      bigTextFile.txt
1761                      bigtextFile.txt
1761                      bigTextFile.txt
1763                      bigtextFile.txt
1763                      bigTextFile.txt
1764                      bigtextFile.txt
1764                      bigTextFile.txt
1765                      bigtextFile.txt
1765                      bigTextFile.txt
1766                      bigtextFile.txt
1766                      bigTextFile.txt
1767                      bigtextFile.txt
1767                      bigTextFile.txt
1768                      bigtextFile.txt
1768                      bigTextFile.txt
1769                      bigtextFile.txt
1769                      bigTextFile.txt
177                       bigtextFile.txt
177                       bigTextFile.txt
177-191                   bigtextFile.txt
177-191                   bigTextFile.txt
1770                      bigtextFile.txt
1770                      bigTextFile.txt
1771                      bigtextFile.txt
1771                      bigTextFile.txt
